Title,Link,Time
Workplace Learning Annotated Bibliography,https://s3.amazonaws.com/static.nicic.gov/Library/024728.pdf,2025-02-24 19:14:08.646345
Training Curriculum for Investigating Allegations of Staff ...,https://s3.amazonaws.com/static.nicic.gov/Library/016804.pdf,2025-02-24 19:14:08.651221
Prison Classification,https://s3.amazonaws.com/static.nicic.gov/Library/018937.pdf,2025-02-24 19:14:08.656508
National Institute of Corrections FY 2001 Cooperative ...,https://s3.amazonaws.com/static.nicic.gov/Library/018781.pdf,2025-02-24 19:14:13.261285
A GUIDE FOR VICTIM SERVICE PROVIDERS,https://s3.amazonaws.com/static.nicic.gov/Library/031408.pdf,2025-02-24 19:14:13.270635
Based Decision Making in State and Local Criminal Justice ...,https://s3.amazonaws.com/static.nicic.gov/Library/033067.pdf,2025-02-24 19:14:13.278491
Applying the APEX Tools for Organizational Assessment,https://s3.amazonaws.com/static.nicic.gov/Library/025301.pdf,2025-02-24 19:14:13.286148
50 State Survey of Sexual Offenses Against Children ( ...,https://s3.amazonaws.com/static.nicic.gov/Library/021769.pdf,2025-02-24 19:14:13.293422
Tribal Resource Guide,https://s3.amazonaws.com/static.nicic.gov/Library/017842.pdf,2025-02-24 19:14:13.299346
Large Jail Network Meeting,https://s3.amazonaws.com/static.nicic.gov/Library/017999.pdf,2025-02-24 19:14:13.305677
lessons from the intermediate sanctions project,https://s3.amazonaws.com/static.nicic.gov/Library/010427.pdf,2025-02-24 19:14:13.310664
Motivational Interviewing with a Criminal Justice Focus,https://s3.amazonaws.com/static.nicic.gov/Library/025355.pdf,2025-02-24 19:14:13.315941
Facilitation Skills for Managers,https://s3.amazonaws.com/static.nicic.gov/Library/016857.pdf,2025-02-24 19:14:13.320384
Children in Foster Care with Parents in Federal Prison:,https://s3.amazonaws.com/static.nicic.gov/Library/027489.pdf,2025-02-24 19:14:17.948882
Volunteer Orientation for Frequent & Regular ...,https://s3.amazonaws.com/static.nicic.gov/Library/014382.pdf,2025-02-24 19:14:17.957475
Meeting Proceedings March 2009,https://s3.amazonaws.com/static.nicic.gov/Library/023878.pdf,2025-02-24 19:14:17.967794
"VIDEO VISITING IN CORRECTIONS: BENEFITS, ...",https://s3.amazonaws.com/static.nicic.gov/Library/029609.pdf,2025-02-24 19:14:17.977017
Serving Jails for More Than 30 Years,https://s3.amazonaws.com/static.nicic.gov/Library/024370.pdf,2025-02-24 19:14:17.985277
Pregnancy- and Child-Related Legal and Policy Issues ...,https://s3.amazonaws.com/static.nicic.gov/Library/027701.pdf,2025-02-24 19:14:17.991546
NIC Services in Managing Justice-Involved Women,https://s3.amazonaws.com/static.nicic.gov/Library/028163.pdf,2025-02-24 19:14:17.997933
STRUCTURING PAROLE DECISIONMAKING Lessons ...,https://s3.amazonaws.com/static.nicic.gov/Library/005797.pdf,2025-02-24 19:14:18.003976
Prison Health Care Survey,https://s3.amazonaws.com/static.nicic.gov/Library/015999.pdf,2025-02-24 19:14:18.009869
Environmental Scan 2015,https://s3.amazonaws.com/static.nicic.gov/Library/031563.pdf,2025-02-24 19:14:18.015088
Community Corrections Acts for State and,https://s3.amazonaws.com/static.nicic.gov/Library/010132.pdf,2025-02-24 19:14:22.611489
"Jail Design Guide, Third Edition",https://s3.amazonaws.com/static.nicic.gov/Library/024806.pdf,2025-02-24 19:14:22.618945
I have an,https://s3.amazonaws.com/static.nicic.gov/Library/033085.pdf,2025-02-24 19:14:22.625955
Objective Classification,https://s3.amazonaws.com/static.nicic.gov/Library/033328.pdf,2025-02-24 19:14:22.631628
a case study of successes and,https://s3.amazonaws.com/static.nicic.gov/Library/025242.pdf,2025-02-24 19:14:22.637148
Staff Perspectives,https://s3.amazonaws.com/static.nicic.gov/Library/021619.pdf,2025-02-24 19:14:22.642097
Developing Gender-Specific Classification Systems for ...,https://s3.amazonaws.com/static.nicic.gov/Library/018931.pdf,2025-02-24 19:14:22.647592
Exploring the Dynamics & Principles of Effective Leadership,https://s3.amazonaws.com/static.nicic.gov/Library/018968.pdf,2025-02-24 19:14:22.653145
New Approaches to Staff Safety,https://s3.amazonaws.com/static.nicic.gov/Library/011356.pdf,2025-02-24 19:14:22.657845
Behavior Management of Justice-Involved Individuals:,https://s3.amazonaws.com/static.nicic.gov/Library/029553.pdf,2025-02-24 19:14:22.663356
Questions and Answers on Issues Related to the ...,https://s3.amazonaws.com/static.nicic.gov/Library/007404.pdf,2025-02-24 19:14:27.209118
LS. Department of Justice lational Institute of Corrections,https://s3.amazonaws.com/static.nicic.gov/Library/019434.pdf,2025-02-24 19:14:27.217907
case studies on the center for sex offender,https://s3.amazonaws.com/static.nicic.gov/Library/015069.pdf,2025-02-24 19:14:27.226759
"Evidence-Based Policy, Practice, and Decisionmaking",https://s3.amazonaws.com/static.nicic.gov/Library/024198.pdf,2025-02-24 19:14:27.233614
CORRECTIONS-BASED VICTIM SERVICES 2016 National ...,https://s3.amazonaws.com/static.nicic.gov/Library/029749.pdf,2025-02-24 19:14:27.239980
Report to the Nation Fiscal Year 2013,https://s3.amazonaws.com/static.nicic.gov/Library/028144.pdf,2025-02-24 19:14:27.246469
Veteran Intercepts in the Criminal Justice System,https://s3.amazonaws.com/static.nicic.gov/Library/033665.pdf,2025-02-24 19:14:27.251479
Recognizing and Addressing,https://s3.amazonaws.com/static.nicic.gov/Library/021452.pdf,2025-02-24 19:14:27.256367
Accession #033617,https://s3.amazonaws.com/static.nicic.gov/Library/033617.pdf,2025-02-24 19:14:27.261556
Audits of Podular Direct-Supervision Jails,https://s3.amazonaws.com/static.nicic.gov/Library/013633.pdf,2025-02-24 19:14:27.266618
"REPORT TO THE NATION, FISCAL YEAR 2018",https://s3.amazonaws.com/static.nicic.gov/Library/033117.pdf,2025-02-24 19:14:31.819024
